CD_IBGE;Cidade;Estado;Subtotal;Parcela Relativa;contagem;ticket medio;frete medio
4121406;REALEZA;PR;89.90;0.08;1;89.90;22.42
4122404;ROLANDIA;PR;64.30;0.06;1;64.30;29.40
4123105;SANTA AMELIA;PR;71.80;0.07;1;71.80;29.56
4123501;SANTA HELENA;PR;61.00;0.06;1;61.00;16.18
4124103;SANTO ANTONIO DA PLATINA;PR;53.45;0.05;1;53.45;17.17
4124400;SANTO ANTONIO DO SUDOESTE;PR;101.90;0.10;1;101.90;31.51
4125506;SAO JOSE DOS PINHAIS;PR;523.40;0.49;3;174.47;16.05
4127106;TELEMACO BORBA;PR;289.00;0.27;2;144.50;31.20
4127205;TERRA BOA;PR;242.80;0.23;2;121.40;27.03
4127502;TIBAGI;PR;337.60;0.32;2;168.80;32.20
4128807;XAMBRE;PR;121.80;0.11;1;121.80;30.06
4201273;ARABUTA;SC;187.70;0.18;1;187.70;32.42
4201406;ARARANGUA;SC;59.90;0.06;1;59.90;16.18
4202008;BALNEARIO CAMBORIU;SC;191.80;0.18;2;95.90;16.30
4202305;BIGUACU;SC;89.90;0.08;1;89.90;16.18
4202404;BLUMENAU;SC;211.70;0.20;2;105.85;20.72
4202453;BOMBINHAS;SC;126.80;0.12;1;126.80;28.71
4202909;BRUSQUE;SC;139.90;0.13;1;139.90;16.47
4203204;CAMBORIU;SC;209.80;0.20;2;104.90;16.73
4203808;CANOINHAS;SC;123.50;0.12;1;123.50;19.53
4203956;CAPIVARI DE BAIXO;SC;58.00;0.05;1;58.00;16.18
4204202;CHAPECO;SC;572.35;0.54;4;143.09;18.09
4204301;CONCORDIA;SC;73.30;0.07;1;73.30;16.18
4204400;CORONEL FREITAS;SC;150.80;0.14;1;150.80;32.07
4204608;CRICIUMA;SC;81.90;0.08;1;81.90;16.18
4205407;FLORIANOPOLIS;SC;80.30;0.08;3;26.77;15.54
4205605;GALVAO;SC;182.70;0.17;2;91.35;39.02
4205902;GASPAR;SC;161.80;0.15;2;80.90;16.18
4206009;GOVERNADOR CELSO RAMOS;SC;49.90;0.05;1;49.90;29.31
4206900;IBIRAMA;SC;59.90;0.06;1;59.90;29.35
4207007;ICARA;SC;65.90;0.06;1;65.90;17.17
4208005;ITA;SC;88.90;0.08;1;88.90;31.29
4208203;ITAJAI;SC;127.80;0.12;2;63.90;16.18
4208302;ITAPEMA;SC;147.80;0.14;1;147.80;32.03
4209300;LAGES;SC;29.00;0.03;1;29.00;16.18
4213401;PONTE SERRADA;SC;112.90;0.11;1;112.90;29.96
4213609;PORTO UNIAO;SC;195.80;0.18;1;195.80;16.89
4214904;RIO FORTUNA;SC;73.90;0.07;1;73.90;29.58
4215802;SAO BENTO DO SUL;SC;89.90;0.08;1;89.90;16.18
4216057;SAO CRISTOVAO DO SUL;SC;89.80;0.08;1;89.80;29.70
4216206;SAO FRANCISCO DO SUL;SC;89.90;0.08;1;89.90;17.17
4216602;SAO JOSE;SC;261.90;0.25;3;87.30;17.57
4217550;SERRA ALTA;SC;179.70;0.17;1;179.70;32.33
4219309;VIDEIRA;SC;29.00;0.03;1;29.00;16.18
4219507;XANXERE;SC;90.00;0.08;1;90.00;17.17
4300034;ACEGUA;RS;139.90;0.13;1;139.90;36.93
4300604;ALVORADA;RS;112.90;0.11;1;112.90;19.28
4302709;BUTIA;RS;89.90;0.08;1;89.90;26.85
4303103;CACHOEIRINHA;RS;121.80;0.11;1;121.80;19.33
4303905;CAMPO BOM;RS;89.90;0.08;1;89.90;19.17
4304200;CANDELARIA;RS;202.90;0.19;2;101.45;51.83
4304358;CANDIOTA;RS;781.10;0.74;2;390.55;
4304408;CANELA;RS;284.10;0.27;3;94.70;19.27
4304606;CANOAS;RS;150.20;0.14;1;150.20;19.25
4304622;CAPAO BONITO DO SUL;RS;131.90;0.12;1;131.90;49.84
4304853;CARLOS GOMES;RS;138.40;0.13;1;138.40;51.79
4305108;CAXIAS DO SUL;RS;432.45;0.41;3;144.15;19.73
4305603;COLORADO;RS;191.90;0.18;1;191.90;52.12
4306106;CRUZ ALTA;RS;153.80;0.15;1;153.80;50.18
4307054;ERNESTINA;RS;153.80;0.15;2;76.90;49.22
4307708;ESTEIO;RS;89.90;0.08;1;89.90;19.17
4308201;FLORES DA CUNHA;RS;245.60;0.23;1;245.60;29.83
4309001;GIRUA;RS;121.80;0.11;1;121.80;19.33
4309407;GUAPORE;RS;970.60;0.92;4;242.65;30.70
4309951;IBIRAPUITA;RS;89.90;0.08;1;89.90;34.50
4313060;NOVA HARTZ;RS;140.90;0.13;1;140.90;52.20
4314100;PASSO FUNDO;RS;112.90;0.11;1;112.90;19.28
4314498;PINHEIRINHO DO VALE;RS;325.70;0.31;1;325.70;
4314704;PLANALTO;RS;89.90;0.08;1;89.90;34.50
4314902;PORTO ALEGRE;RS;1432.65;1.35;12;119.39;18.55
